title,main_image,ingred_name,ingred_amount,recipe_step,recipe_image,views,writer
[마늘종볶음]단짠단짠 자꾸만 손이가요~,['https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/b5b240a7490c8be73852f1a7563d352d1.jpg'],"['건새우', '물', '마늘종', '소금', '설탕', '간장', '식용유', '참기름', '물엿', '통깨']","['50g', '1/4컵', '300g', '1/3큰술', '2큰술', '4큰술', '4큰술', '2큰술', '1+1/2큰술', '1큰술']","['마늘종 300g을 4cm길이로 썰어주세요', '달궈진 마른팬에 건새우 50g을 넣고 중간불에서 1분간 볶아주세요.마른팬에서 건새우를 볶으면 잡내는 사라지고 단맛은 올라갑니다.', '볶은 새우를 체에 올려 잔 가루를 털어 내주세요.', '팬에 불을 (센불)켜고 물 1/4컵을 넣고 끓여 줍니다.', '물이 끓어 오르면 마늘종 300g과 소금 1/3큰술을 넣고 수분이 없어질때까지 볶아줍니다.마늘종을 물에 볶으면 데치는 효과를 내서 아린맛은 날아가고 색감은 살아 납니다. ', '수분이 없어 졌을 때 볶아 놓은 건새우를 넣어주세요.', '설탕 2큰술을 넣고 살짝 볶아주고 설탕 입자가 있을때 간장4큰술을 넣어 줍니다.', '식용유 4큰술을 건새우쪽으로 넣고 볶아줍니다.', '불을 끄고 참기름 2큰술, 물엿 1큰술반, 통깨 1큰술을 넣고 잘 어우러지게 섞어서 맛있게 드시면 되세요~']","['https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/cc9ae82902ca57b7b640ea676b968ec01.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/f41b4aee3e70cf93a103532fa745513c1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/fc2f4ead554e4ac135ad4fc6efbd9b961.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/04227c798c7e0fecfdad6f81714a9d4c1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/a83b13ff339a4494461b3b7d02b5f4ad1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/946e71aba719e3f2f850031ac0d2b5241.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/fb04b0d30bec5f126246aec84b73c1a91.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/1d6175d4f07063b28dfb9b11de69c39a1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/04/28/88870d91d0349948d47139d56e2806a31.png']",17554,
목우촌 집반찬 간편요리 마늘쫑 소시지 볶음,['https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/2ae25e1a390e94b56ff92db993bb67d01.jpg'],"['프랑크소시지', '마늘쫑', '간장', '올리고당', '참기름', '통깨']","['1개', '1단', '2', '1', '1', '']","['프라임 꼬치구이 프랑크를 먹기좋은 크기로 썰어주세요.', '마늘쫑을 3~4cm 길이로 썰어주세요.', '펄펄 끓는물에 마늘쫑을 30초 데쳐주세요.', '소시지도 1분간 데쳐줍니다.', '후라이팬에 기름을 두르고 마늘쫑과 소시지를 넣고 볶아줍니다.', '간장2, 올리고당 1넣고 볶아줍니다', '마늘쫑이 어느정도 숨이 죽으면 참기름1, 통깨를 뿌리고 조금 더 볶아주세요.', '어른아이 모두 좋아하는 반찬~ 마늘쫑 소시지 볶음완성!']","['https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/0800e4f414f4817d2c26bc05f1bc1def1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/3cfdefa9eab43329c6e5b2d0f37aefab1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/d9c7b44cf44f808414b0a1f35086fe7b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/0d46cbadb86f311eaeeefcb7a3f2e0271.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/b1a8cd607e3689b44085a1a5a2fd411f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/134a584ae87a6fc3231be9c9d11923c51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/1a49e4a33c84a88b496d5d04918e57241.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2019/06/14/791df20bc7c3b79fc85898cc23864aba1.jpg']",74181,
꿀마늘 닭강정(아이들 단골메뉴 찜♡♡),['https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/da4e0452ac3bd20bb0528f4abc1211881.jpg'],"['닭봉', '파프리카', '간장', '설탕', '꿀', '마늘', '후추가루']","['1팩(500그램)', '조금', '2숟가락', '2숟가락', '3숟가락', '15개', '조금']","['닭봉에 소금 1작은술 넣어 조물조물한 후에 20분정도 둬요', '끓는물에 데쳐요', '팬에 간장,설탕,마늘넣고 내용물 반정도 잠기게 물을 넣어요', '뚜껑닫고 국물 반정도 될때까지 중불정도에서 끓여요', '뚜껑연채로 꿀3숟가락.후추가루넣어요', '국물이 없어지고 갈색될때까지\n\n졸여요', '파프리카넣어서 버물버물\n\n마무리해요~\n\n저는 기본적으로 통깨 팍팍을 더 좋아해요~']","['https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/b1365099f2e974904af6f61c199efb151.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/80963f14492687e61c9301207815c2951.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/fed3735b2476de426d43c6cdf917a75b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/18455f1f344fb2cc4da2ae58a71365741.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/eff1ae0680ea5987f8ddafa49f5c5e821.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/c6998b7efd1364a18f0f2f4317c63a391.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/e539689a951b02a7185591e75b4c5db01.jpg']",121598,
우리집 최애 반찬 마늘아몬드조림 레시피,['https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/e36b183d83e67dc42c6247b5f00b38be1.jpg'],"['통마늘', '아몬드', '통깨', '식용유', '간장', '물', '물엿']","['40알', '1줌', '솔솔', '약간', '2T', '2T', '1.5T']","['먼저 깐 마늘은 물로 한번 헹구어 주시구요. 마늘이 너무 크다면 먹기좋게 반쪽으로 나눠 주세요', '달궈진 팬에 식용유를 둘러 준 뒤 마늘을 넣고 튀기듯 노릇노릇 구워 줍니다. 굽다보면 마늘의 알싸한 향이 올라와 군침돌아요', '마늘이 노릇노릇 구워지면 아몬드도 넣고 살짝 볶아줍니다아몬드 없으심 호두를 넣어주셔도 되고 그것도 없으시면 마늘만 넣고 만드셔도 되요', '다 볶아지면 미리 준비해둔 양념을 부어 약불에서 타지 않게 조려주심 끝^^', '정말 간단하게 만든 건강반찬 마늘아몬드 조림 완성이에요', '물엿이 들어가서인지 윤기가 좌르르 흘러요.한번 먹어보니 알싸한 맛이 하나도 없고 정말 부드러우면서 맛있네요, 간장과 물엿의 양념들이 어우러져 단짠단짠한 맛이 밥과 함께 먹으면 참 맛있어요, 몸에 좋은 마늘과 아몬드의 조합이라 우리집 최애반찬으로 추천합니다^^암환자분들 항암반찬으로도 좋습니다.']","['https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/8fedf49c6369f1da875043951737bda41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/f62a6edcaac76bd99acae6bca149e2061.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/ddbb2e4653a69513ec676c44fa63003a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/105cb3a8b3e6ace1286b4c4a6b65df6c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/2ccb6c5f8cbf66109443e9cdc2a677561.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/05/26/15d86fbbccf385bf69b0dd51afd38a001.jpg']",52737,
"마늘조림, 건강한 밑반찬 애들이 더 좋아해요 ~",['https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/00a72cb62367087565b0838c8afba9741.jpg'],"['마늘', '식용유', '물', '간장', '꿀', '참기름', '통깨']","['40알정도', '2큰술', '3큰술', '3큰술', '1.5큰술', '1/2큰술', '약간']","['마늘은 밑둥 부분을 칼로 잘라주시고 먹기좋은 크기로\n\n잘라주시면 되는데요, 저는 반정도만 잘라주고 좀 더 큰건\n\n세번정도 나눠서 잘라 준비해줬어요', '그리고 팬에 식용유 2큰술 정도 둘러주시고\n\n마늘 겉면이 노릇노릇해질 정도로 볶아주세요 ~', '마늘 겉면이 노릇하게 변하면 참기름을 제외한 \n\n나머지 분량의 양념을 넣어주시면 되요\n\n물 3큰술', '간장 3큰술', '꿀 1.5큰술을 넣어주세요 \n\n단거 싫어하시면 1큰술만 넣으셔도되요', '그리고 마늘에 색이 어느정도 베일정도로 졸여주세요', '양념이 어느정도 졸아들었을때\n\n마지막 참기름 1/2큰술을 넣고 통깨 톡톡 뿌려 \n\n마무리 해주시면 된답니다 ^^', '통깨 톡톡 뿌려 \n\n마무리 해주시면 된답니다 ^^']","['https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/16fa742cc5f84bb9c0962b7f2e78bb061.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/9ad90a0d0f658da0be911c0653de4cb21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/268e0b0a7cb70787365ce5d147f50df61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/f8ab4e128fb3ef546154c4416b29de501.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/030bc695ad33dc04d4830a0a944a9d0d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/457013e6188758c5ce5e75be8e27e86c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/b5a60afe3e0e5c3f258fed28e01cff471.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/16/f17772ccc0e412d4a024525d025b0e6d1.jpg']",195334,
돼지고기마늘조림 # 밥위에 쓱쓱,['https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/a80d0bb04ffc500c2c91b40606d44c111.jpg'],"['돼지고기앞다리살', '마늘', '청주', '생강가루', '허브소금', '깨', '간장', '설탕', '올리고당', '다진마늘', '굴소스', '맛술', '참기름', '물']","['400g', '1줌', '1T', '1/2t', '1/2T', '약간', '3T', '1T', '2T', '1/2T', '1T', '2T', '1T', '1/4컵']","['돼지고기는 먹기좋게 길쭉하게 잘라 밑간해주세요.\n\n(돼지고기, 청주 1T, 생강가루 1/2t, 허브솔트 1/2T 넣고 버무려 10분간 재우기)', '그동안\n\n간장 3T, 설탕 1T, 올리고당 2T, 다진마늘 1/2T, 굴 소스 1T, 맛술 2T, 참기름 1T, 물 1/4컵\n\n을 넣고 양념장을 만들어 줍니다', '달군 팬에 식용유를 두르고 통마늘을 볶아주세요', '어느정도 향이 올라오면 재워놓은 돼지고기를 넣어 마늘향이 스며들게 함께 볶아주세요', '섞어 놓은 양념장을 넣어 같이 볶아주세요', '약불에서 뚜껑을 닫고 15분간 조려주세요', '양념장이 잘 스며들었다면 뚜껑을 열어 강불에서 국물이 남지 않게 더 조려주세요.\n\n자박한 양념장들이 진득해져요.', '마지막으로 깨를 솔솔 뿌려주면 완성.~']","['https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/954171ccd1d1ca38162262323db0600c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/2848faef22a579b73c178ad7a2484b2e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/c7d374f51f7118f3940a34431dfa34d61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/67c6166016024d9c646b568ea85b08321.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/64aebc30e4c877d9add95b5445bf92e61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/f139893bf2b4c742b1751fdd813ba5611.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/60f977a7bcc55be9383e92a45248ded91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/02/19/5fae65ee0790af878eb73cad4bf5b2721.jpg']",222256,
(집에서 즐기는 술안주) 골뱅이볶음 / 골뱅이마늘볶음 - 골뱅이 요리,['https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/4cc5d8fad527e148e52cd25d01afbdcb1.jpg'],"['통조림', '통마늘', '양파', '청양고추', '진간장', '다진', '맛술', '설탕', '올리고당', '통깨']","['1캔(400g)', '7~10개', '1/2개', '2개', '2큰 술', '0.5큰 술', '1큰 술', '1큰 술', '1큰 술', '약간']","['통조림 골뱅이로 \n\n만드는 색다른 술안주\n\n골뱅이볶음 만들기 ♬♪', '· 골뱅이는 체에 밭쳐 물기를 빼준 뒤', '큰 것들만 한 입 크기로 한 번씩 잘라줍니다', '마늘은 편으로', '양파는 한 입 크기로 잘라주고', '기호에 따라 청양고추도 쫑쫑 썰어줍니다', '· 양념을 만들어 줍니다', '※ 골뱅이볶음 양념\n\n【 진간장 2 큰 술, 다진 마늘 0.5 큰 술, 맛술 1 큰 술, 설탕 1 큰 술, 올리고당 1 큰 술 】 \n\n-밥숟가락 계량입맛에 따라 원하는 양념을 가감해주세요 :D', '· 기름 한 바퀴 두른 팬에\n\n마늘과 양파를 넣고 볶아주다가', '· 양파가 살짝 투명해졌을 때 \n\n골뱅이와 청양고추, 양념을 넣고 중불에서 볶아줍니다', '· 마늘이 노릇하게 익고 원하는 만큼 골고루 볶아준 뒤 \n\n그릇에 담아 통깨 솔솔 뿌려주면 완성!!!', '색다른 골뱅이 요리\n\n골뱅이 볶음 / 골뱅이 마늘 볶음']","['https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/017eb27f10cdd24ba64ca56f6e828cfa1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/f00f91eb7627a252d8ebaa89a1b3938d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/3d27ef76cd8f40d8a15ae45dcf76aa251.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/9f09a101f588a0e26da95c0f985c3fd61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/c20bd778645311624d6173841240613c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/5021a758ec529102bac7c2c2f87af5d31.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/bdfbf9355ca95a7d5c0ba791bd7a927b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/575858f96dfa5bdd1f88ae68ce1dc77f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/e505c3ed9c4c9beaa52be37ec04735da1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/bb60ed302d715ff317b081a84762037c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/965fe237a3985b83d19a80e8ab0f11211.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/10/07/8d983056dcc18714f20367148f7b70da1.jpg']",95650,
또띠아마늘칩 -10분이면 가능 또띠아칩 #간단간식,['https://recipe1.ezmember.co.kr/cache/recipe/2016/11/13/fbceba7b97dbc06754596ed2dbfb34181.jpg'],"['또띠아', '버터', '다진마늘', '파슬리가루', '꿀']","['2~3장', '1스푼', '0.5스푼', '0.5스푼', '1스푼']","['그릇에 버터1,다진마늘0.5,파슬린가루0.5,꿀1 또는 시럽\n\n마늘 좋아하심 양을 늘려주세요.\n\n버터는 전자렌지 또는 중탕으로 녹여주세요.\n\n전 미리 실온에 꺼내 두었답니다.\n\n잘 섞어주세요.전자레인지', '또띠아 위에\xa0 마늘소스를 고루 펴주고', '가위를 이용해 적당한 크기로 잘라 줍니다.\n\n오븐 180도 5분~8분정도 구워주면 완성\n\n중간 중간 체크해주세요.오븐', '또띠아마늘칩 완성']","['https://recipe1.ezmember.co.kr/cache/recipe/2016/11/13/7c6d487c3d73036c2f26b3c108c030bf1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/13/94dc417ad7bce9911932d574951b6a8f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/13/dd334fa5b0342cc849174cd3b216e1161.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/11/13/4cfb7b0808019410ab0f9c4cc4782c141.jpg']",69574,
마늘쫑무침 / 마늘쫑고추장무침 - 간단 반찬 만들기,['https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/37386ee35d468574c03fea119de8ffc61.jpg'],"['마늘쫑', '고춧가루', '다진', '고추장', '진간장', '매실액', '올리고당', '설탕', '참기름', '통깨']","['1봉지(1줌)', '1큰 술', '0.5큰 술', '2큰 술', '2큰 술', '2큰 술', '0.5큰 술', '0.5큰 술', '1큰 술', '0.5큰 술']","['아삭아삭 식감 좋고 \n\n반찬으로 좋은 \n\n마늘쫑무침 만들기 ♬♪', '· 마늘쫑은 끝 쪽만 살짝 잘라주고', '새끼손가락 크기로 잘라줍니다', '· 소금 0.5 큰 술 넣고 끓는 물에', '약 50~60초만 살짝 데쳐준 뒤 찬물에 씻어', '체에 밭쳐 물기를 빼 줍니다', '· 마늘쫑 고추장무침 양념을 만들어 줍니다', '※ 마늘쫑무침 양념\n\n【 고춧가루 1 큰 술, 다진 마늘 0.5 큰 술, 고추장 2 큰 술, 진간장 2 큰 술, 매실액 2 큰 술, 올리고당 0.5 큰 술, 설탕 0.5 큰 술 】 \n\n-밥숟가락 계량( 입맛에 따라 원하는 양념을 가감해주세요 :D)', '· 양념장에 마늘쫑을 넣고 버무려준 뒤', '통깨 0.5 큰 술, 참기름 1 큰 술 \n\n넣고 한 번더 골고루 버무려주면 완성!!!', '아삭아삭 새콤달콤 맛있는\n\n마늘쫑무침']","['https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/2c45e0650876588c60977044e72c310f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/ba45ed3895bde0fbc0028e3ea9ddf9051.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/5e34e85c976923e1b0338630eadbb45b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/967a2be6ef38e6c7bd1cf6345c79001a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/04b956dd0ba0e1f821bf50051d7aa1931.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/f39dd5432ca28028b5754d06df242db71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/95037c16af9f687f9369e09993b7c90d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/d64ad423c0588601e882276ddea4b7201.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/d421bd6c9fe3a5a87ebb06617bc1c5121.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/409b8b30a81431ae5c53ffb60fa89aad1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/06/25/d293118eb8506d960fe66f2b89e0263f1.jpg']",186077,
밥상 디톡스 브로콜리 마늘 볶음/해독 밥상/야채 마늘 볶음,['https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/f0896ec6cdc3fb6c57d5786d00ee20301.jpg'],"['브로콜리', '마늘', '소금', '올리브유', '후춧가루']","['1개', '10쪽', '1/2T', '2T', '약간']","['브로콜리는 송이송이 먹기 좋게 썰어주세요 :)', '끓는물 3컵에 소금 1/4T를 넣고 브로콜리를 데친 후 찬물에 헹구어 냅니다', '팬에 올리브유 2T를 두르고', '썰어둔 마늘을 넣고 볶아주세요', '마늘을 어느정도 볶다가 브로콜리를 넣고,\n\n소금 1/4T,', '후춧가루를 약간 넣어주시면,\n\n브로콜리 마늘볶음 완성!!\n\n참 쉽죠 :) 흐흐', ""건강 식재료로 유명한 요 두아이, 브로콜리와 마늘을 함께 볶아내니, 깔끔하고 담백한 맛이 뿜뿜! 'ㅂ' 매운 요리의 사이드 반찬으로도 최고예요 :) 저는 다른 포스팅으로 다시 돌아올게요 우리 곧 다시 만나요 씨유쑨! ♥""]","['https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/a748f7bfb0ea69bb793212fe18c7c3d01.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/26adcab3bf1f3fcc9c1b91a0cea15b0a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/599b9e2b26d7c087450a281cbe580f8f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/3b1370a5ca5391e985b38a55c72427711.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/106266ac5acf6b5f394e81cbea4731b41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/662b298d9c75028617feb04c4721a50e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/12/08/959d9b73bb5ca08d37834bb1ac6f7f5b1.jpg']",59893,
